会社名,タイトル
ライクスタッフィング株式会社 | ★東証一部上場グループ★WEB面接1回★残業月20h以内★年休120日,【総合職(進行管理スタッフ/BIM CADオペレーター)】★経験者優遇
エムケイ株式会社 | 【大阪府緊急雇用対策に賛同】★WEB説明会実施中（随時）★,【観光コンシェルジュ(ドライバー)】※有給消化率8割超/社宅あり
株式会社誠進堂 | 売上は昨年対比170％UP／平均月収50万円＆平均年収700万円！,抜群のチームワークと好待遇が魅力の【施工管理】※完全週休2日
日研トータルソーシング株式会社 | ◆WEB面接1回のみで内定も可能◆年休最大160日◆残業ほぼなし,もくもくと自分らしく働ける仕事！【在庫管理・検査スタッフ】
UTエイム株式会社 | 【東証一部上場グループ】大手グループの安定基盤,年間180万円の貯金も夢じゃない！【品質保証】★未経験歓迎
株式会社一条工務店 | 【販売棟数 業界No.1！】★明確な評価制度で年収1000万円も可能,※全国募集《東京・神奈川積極採用》完全反響型の【営業・販売】
株式会社ファクト | ＼未経験からNTT東日本特約店で活躍／ *年休120日 *残業月20h,NTT東日本から絶大な信頼★社会インフラを支える【法人営業】
UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／スピード入社も可能,オフも充実♪【製造管理事務スタッフ】未経験歓迎／履歴書不要
株式会社ビッグモーター | 充実したサポート環境☆未経験だった女性も大活躍中☆賞与年2回,未経験から始める【営業職】★平均年収957万円 ※高卒以上
UTエイム株式会社 | 【東証一部上場グループ】何十年先の将来も重宝される人材へ！,完全未経験から手に職を！【エンジニア候補生】★自社研修充実
ヴェル・ハウジング株式会社 | 安心の固定給制度あり⇒未経験でも月給28万～35万円スタート！,未経験OK！年収1000万超も目指せる【住宅営業】★100％反響営業
日研トータルソーシング株式会社 | ◆WEB面接1回のみで内定も可能◆年休最大160日◆残業ほぼなし,好きな街で働けるものづくり【サポートスタッフ】年休最大160日
UTエイム株式会社 | 【東証一部上場グループ】★30～40代多数活躍中！,無理のない環境で働く！【ピッキング・仕分け】★土日休みも可能
株式会社アイダ設計 | 1都2府21県へエリア拡大中／テレビ・ラジオCMでもお馴染みの企業,WEB集客多数★商談チャンスが多い【住宅営業】※男女活躍中
